,property_type,area_m2,price_usd,lat,lon,state
158,house,164,62711.78,20.9968241,-89.5846761,Yucatán
159,house,162,47417.83,20.984423,-89.579231,Yucatán
160,house,120,51369.32,18.864874,-98.925911,Morelos
161,house,317,173906.62,19.40112,-99.06707,Distrito Federal
162,house,185,146995.28,20.705742,-100.444016,Querétaro
163,house,220,184446.42,24.813503,-107.371574,Sinaloa
164,apartment,91,101182.03,18.935198,-99.232834,Morelos
165,house,96,57705.38,21.012869,-89.636932,Yucatán
166,apartment,120,163366.83,21.1672703,-86.8414848,Quintana Roo
167,house,180,184446.42,18.948607,-99.243812,Morelos
168,house,180,102738.64,18.95299,-99.259592,Morelos
169,house,90,68245.17,18.8816687,-99.1632665,Morelos
170,house,243,200208.63,20.58843821,-100.4006267,Querétaro
171,house,170,38470.25,20.9973786,-89.6296213,Yucatán
172,apartment,83,147522.15,19.33923,-99.218987,Distrito Federal
173,house,239,226551.88,16.766967,-93.123362,Chiapas
174,house,200,115410.76,28.631689,-106.102234,Chihuahua
175,house,335,250260.79,20.58966,-100.366899,Querétaro
176,house,210,141990.07,18.862602,-99.213448,Morelos
177,apartment,90,57428.26,20.59808,-100.337153,Querétaro
178,apartment,75,34254.33,21.17893333,-86.81231998,Quintana Roo
179,apartment,117,140741.38,25.6689477,-100.3536491,Nuevo León
180,house,147,92750.2,16.862803,-99.894829,Guerrero
181,apartment,134,173865.39,23.296583,-106.479973,Sinaloa
182,house,133,76150.02,21.0012449,-89.5674103,Yucatán
183,house,69,44783.51,19.666832,-99.236992,Estado de México
184,house,101,210795.91,25.668703,-100.405373,Nuevo León
185,house,350,262115.25,20.663444,-103.426533,Jalisco
186,apartment,130,171231.07,19.521015,-99.23091,Estado de México
187,house,180,86932.69,23.286216,-106.427007,Sinaloa
188,house,200,70283.76,19.422676,-99.257774,Estado de México
189,house,254,171271.67,19.6378074,-99.1995969,Estado de México
190,house,279,131716.2,20.084376,-98.367993,Hidalgo
191,house,110,73234.21,18.850763,-98.943855,Morelos
192,house,73,43729.78,19.300923,-99.713636,Estado de México
193,apartment,70,41680.96,19.444723,-99.186447,Distrito Federal
194,house,380,257531.53,19.403597,-99.149771,Distrito Federal
195,house,298,168069.88,19.66869,-101.205173,Chiapas
196,apartment,63,36817.31,32.486292,-117.054763,Baja California
